Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR
D_postura;11.9;0.5176984473029052;-0.2689924324084499;0.43246207974501044;-0.27431673110103555;0.5978946263658477;-0.06440315716683198
D_postura;12.0;0.5139002253980264;-0.26849381388209287;0.4302051750954199;-0.2748633900415121;0.5926406268695968;-0.06726445991252057
D_postura;12.1;0.509887929099366;-0.26802940762744837;0.4272885564481843;-0.275513059582792;0.587168456539068;-0.07013063237446637
D_postura;12.2;0.5055648796310415;-0.26775721568688343;0.4235051932719311;-0.2764174503473071;0.5817672430807926;-0.07291422083558041
D_postura;12.3;0.5008569433225306;-0.2678167216958755;0.41867881296330484;-0.2777129360004165;0.5766780373921575;-0.07554869420495969
D_postura;12.4;0.49579786254817293;-0.2682043916530143;0.41291825303629004;-0.27937371116447873;0.5720194466960038;-0.07798912834287834
D_postura;12.5;0.4904574228419598;-0.26886977213172353;0.4064195270500039;-0.281321597880853;0.5678420455298022;-0.08021080820456206
D_postura;12.6;0.48493349938590075;-0.26973016198288113;0.39930967302863846;-0.2834699531432023;0.5640880181136568;-0.08222464120877904
D_postura;12.7;0.4793416782692456;-0.27067128163256265;0.39173233821331915;-0.2857023127657674;0.5606502903160949;-0.08405195951775053
D_postura;12.8;0.47373031236869895;-0.27164791828613083;0.3837389919695446;-0.2879641747951936;0.5574713423501668;-0.0857057804368823
D_postura;12.9;0.4681308097514017;-0.2726332597315552;0.37533176312854266;-0.2902230738105098;0.5545070667552044;-0.08719571781312944
D_postura;13.0;0.4625797329496872;-0.27356901022307395;0.36658047015862927;-0.2924016275612818;0.5517465869943917;-0.08850275601253665
D_postura;13.1;0.4571023449825103;-0.2744098802908171;0.357558720114407;-0.2944329118912888;0.5492010477696118;-0.08960187941238844
D_postura;13.2;0.45174752310600513;-0.2751183852238214;0.34828578818115;-0.2962809631317644;0.5468944012658964;-0.09047176787470261
D_postura;13.3;0.44658131733592893;-0.2756481883285971;0.338813488849891;-0.29790493815160035;0.5448405980525722;-0.09109775187846288
D_postura;13.4;0.44164502135286554;-0.2759980267822879;0.3292194262625851;-0.2993042489259085;0.5430325389932911;-0.09149438176827074
D_postura;13.5;0.4369932984408808;-0.27616536428744193;0.3196068678596286;-0.30048029181398045;0.5414364261629719;-0.09169434140414756
D_postura;13.6;0.43272609465615847;-0.27607743410858515;0.31022817407875714;-0.3013544142266876;0.5399451493872623;-0.09174502870500263
D_postura;13.7;0.42893387427471313;-0.2756638302744296;0.30134139470211413;-0.3018467695032681;0.5384393335972959;-0.0916988522251363
D_postura;13.8;0.42574214975683705;-0.2748327919683112;0.2931590059893742;-0.3018706968723406;0.5367861722078638;-0.09161512410899642
D_postura;13.9;0.42326082163318074;-0.27349726408390757;0.2858628544496368;-0.30134388724570066;0.5348632921277906;-0.09154568299131165
D_postura;14.0;0.421467941746896;-0.271689447102706;0.2794255854988131;-0.3002952161992349;0.5326568272485103;-0.09150861785892639
D_postura;14.1;0.4203019581010565;-0.2694789005233653;0.2737406872150145;-0.2987912195451885;0.5301982822631904;-0.09150716789957498
D_postura;14.2;0.41966649769953435;-0.2669311530363157;0.26874287340559394;-0.2968828588277041;0.5275380776391122;-0.09152210724829679
D_postura;14.3;0.4194344274887136;-0.26413522610774604;0.26434704084034105;-0.2946408237840121;0.5247587748855315;-0.09152070957231222
D_postura;14.4;0.4195539245472233;-0.2611442298527525;0.2605042423803508;-0.2921160015522224;0.5219258576522279;-0.09148773948651323
D_postura;14.5;0.419986733084901;-0.2579966188972335;0.25719789183954117;-0.2893455318438522;0.5190909827382093;-0.09141205232186955
D_postura;14.6;0.42065715165675616;-0.2547789350481732;0.2543783163564631;-0.2864101010978435;0.5163386730807732;-0.09127655201481384
D_postura;14.7;0.4215006550156393;-0.25157199636703115;0.2519943018051099;-0.28338703174108043;0.5137452154741476;-0.09107039117665838
D_postura;14.8;0.4224375148524449;-0.2484157753646629;0.25006416048970337;-0.28030130202037146;0.5113143282983851;-0.09079065997562925
D_postura;14.9;0.4233760126926853;-0.2453475421981671;0.24859337215131028;-0.2771718748301426;0.5090418582297573;-0.09043426958294913
D_postura;15.0;0.42428999962120056;-0.24236659233480382;0.24753680672643222;-0.2739970772717972;0.5069158440280468;-0.09001314737867687
D_postura;15.1;0.42515628082649215;-0.23946047164268655;0.24682445020688645;-0.27076636460820375;0.5049119782886381;-0.08954210388458576
D_postura;15.2;0.42589454972223706;-0.23668022876745445;0.2462854845735194;-0.2675260805696919;0.5030912663820324;-0.08900938622861639
D_postura;15.3;0.4264347341222319;-0.23407974834748688;0.24573330433144314;-0.2643297756334701;0.5015280828120746;-0.08840246855220964
D_postura;15.4;0.42667090623277915;-0.23170040306229045;0.24501519277240172;-0.2612144459032068;0.5002353037412194;-0.08771255455217952
D_postura;15.5;0.42650177990017113;-0.22958583460346382;0.24399975162633383;-0.2582194851166815;0.499229544022126;-0.08692933407857846
D_postura;15.6;0.4259518994730887;-0.22772037384896437;0.24266861602308273;-0.2553459249510673;0.49849460520264915;-0.08607188568259956
D_postura;15.7;0.42507735505704386;-0.2260679658308057;0.241053442831164;-0.2525789527915718;0.4979924394161799;-0.08516763647516672
D_postura;15.8;0.4239394298553745;-0.22463221543195142;0.23918406813769857;-0.24993546788155344;0.4977754866538871;-0.08422341706810406
D_postura;15.9;0.42262132652779155;-0.22341368656401683;0.23710869051370173;-0.24742970208472218;0.4979114573701793;-0.0832460738928537
D_postura;16.0;0.4211398440487777;-0.22240246078380932;0.23485826844878233;-0.2450588061152054;0.4983930314452228;-0.08224262075070883
D_postura;16.1;0.41949750961062077;-0.2215967099191376;0.23244768880272618;-0.24282480930226483;0.4992219130013697;-0.08121455991842019
D_postura;16.2;0.4177467722942249;-0.2209660551654152;0.22990047085293655;-0.24070857837835394;0.5003953548816552;-0.0801779366550927
D_postura;16.3;0.41593420192128977;-0.22047424044940342;0.22723552630111143;-0.23868699281113379;0.5018901266699226;-0.07915139993127444
D_postura;16.4;0.4141124097309081;-0.2201355069399121;0.22443066788555713;-0.23678422736827534;0.5037907586448966;-0.07813144481737282
D_postura;16.5;0.41234642472869965;-0.21996917479504083;0.22146848466325508;-0.23503269220287012;0.5061928721412556;-0.0771140688623652
D_postura;16.6;0.4106370847761376;-0.2199772072244411;0.21835479320699017;-0.23345045788677043;0.5090666205279355;-0.0761021309891962
