Condicao;Trial;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR;Ch4_HbO;Ch4_HbR;Ch5_HbO;Ch5_HbR;Ch6_HbO;Ch6_HbR;Ch7_HbO;Ch7_HbR;Ch8_HbO;Ch8_HbR
A;1;14.5;0.7647677119303733;-0.04000502964692387;0.5442346145015842;0.12274418834212986;-0.02727715828122612;-0.038605241588197;-0.043385970727910284;-0.0385216064178131;0.0037616963087749866;0.07817002572257614;-0.2538425193475389;-0.08804590121306877;0.15467149986486817;0.07304946210573826;-0.11491453277429553;0.17066383430159382
A;1;14.6;0.7512119796329602;-0.04396663528537381;0.5491428835247127;0.12787144447110155;-0.02861428753617723;-0.03985925910437427;-0.027429233907612094;-0.03223543646534255;0.00478298924324605;0.07815350625835116;-0.24308243064341717;-0.08371623857122312;0.1552101075724126;0.07423724289485945;-0.11165122266685934;0.17227247182839056
A;1;14.7;0.7366184250977623;-0.04815219417674532;0.5541115662014686;0.13342992291498534;-0.02995698258025925;-0.040957928860977155;-0.011179721189029657;-0.025787183336907216;0.005715681552990404;0.07821410671580509;-0.23192088102748176;-0.07923220080461135;0.1548065063981925;0.0753768473167633;-0.1091479412075671;0.17344786133874024
A;1;14.8;0.72117692268968;-0.05251058917345608;0.5591496578707202;0.13934630364386624;-0.03127454529595397;-0.04190688893662031;0.005287118312092609;-0.01921249481093046;0.006594725894274234;0.07835564880317403;-0.22042002582822118;-0.07463380525449903;0.15358389046044074;0.07647310641446126;-0.10737888488243108;0.1742249070753208
A;1;14.9;0.7049877080485576;-0.057009286702236484;0.5642591412166338;0.1455831932284184;-0.03253879022763506;-0.042707448076360954;0.021926009003672142;-0.01252707666756292;0.007446583097870274;0.07858389374606478;-0.20860051962825565;-0.06993524804512852;0.15161553849259413;0.07753245126015296;-0.10633450197304839;0.17461908487586353
A;1;15.0;0.6883883973902494;-0.06156429930945784;0.5694601392169814;0.15200712548646456;-0.03371323808384652;-0.043373568667779416;0.03861517224240174;-0.005796757589357604;0.008323889214894464;0.07890035560594466;-0.1965866678610828;-0.06521544150815739;0.14911524956512245;0.07856040628666738;-0.10595562446513718;0.17470154468477128
A;1;15.1;0.6716958769904027;-0.06609399451312559;0.5747707340572346;0.15849301831835305;-0.034760428932571585;-0.043918738491313114;0.055242510974427006;0.0009194189082797344;0.009280155242109345;0.07930798795017768;-0.18448814663308877;-0.06054456075928005;0.14629059550699974;0.07956555071251659;-0.10618358976134878;0.17454166016104633
A;1;15.2;0.6551692033771612;-0.07057968305251316;0.5802277664811735;0.1649528008468697;-0.0356944155274217;-0.04435262068458545;0.07169966829009411;0.007537421363185359;0.01028584351623607;0.07978120576950154;-0.17248775495682178;-0.056019791873509917;0.1432063518736637;0.08050935387222458;-0.1069605570844212;0.1741586761907432
A;1;15.3;0.6391140212893882;-0.07500923014958438;0.5858774122135939;0.17128251813972417;-0.03654366374138185;-0.04468685329970157;0.08785508875264192;0.013949879255862996;0.011291061570336325;0.08028358138995184;-0.16082346905556744;-0.0517667543687903;0.13991904465067773;0.08133617457045883;-0.10821961935577118;0.17356936279994617
A;1;15.4;0.6236299962722871;-0.07938661975456718;0.5917390458865084;0.17745736343144047;-0.03731717856229366;-0.04492463441969452;0.10366204909621324;0.02011744668103832;0.01226580224046181;0.08079847837455656;-0.1495818658572574;-0.047825449550530585;0.1364293188805119;0.08202194219954739;-0.10992699317821497;0.1727685102725811
A;1;15.5;0.6088015805340774;-0.08372413926083766;0.5978338382301596;0.18346031240807026;-0.03802997028739519;-0.04506877134066389;0.11907972659612831;0.026001013342825896;0.013171088103090867;0.08130655814731202;-0.13885125514469276;-0.04423498119777136;0.13271923875814995;0.08253877099150397;-0.11204740270092106;0.17174524763429222
A;1;15.6;0.5950230885117822;-0.08797108450726565;0.6041985631644549;0.1891409439846985;-0.03868785086112503;-0.04513576959455623;0.13394431803599627;0.03148502785509688;0.013995472758315586;0.08177986875872989;-0.1288780518469892;-0.04113339720173492;0.1289419788375481;0.08284498033383869;-0.11451151929047132;0.1705482062467456
A;1;15.7;0.5826734866600933;-0.09206642410119192;0.6108600951327219;0.19435043969211918;-0.03928379431294715;-0.04514191689133806;0.14809968964320497;0.036466652093621654;0.014745823063149643;0.08219806090536963;-0.11987694682294148;-0.038643509360869466;0.12527282675032936;0.08291124563032914;-0.11725715377194668;0.16923233998738496
